tab,row,sector,name,column,standard_value,country_value,matched,usability,usabililty_justification,approximate_match,best_match,token_match,label_match,issue,list_name,country
survey,2,edu,test,name,audit,audit,matched,"usable, notUsable","customRules, direct, note",,,,,,,BFA
survey,2,edu,test,type,audit,audit,matched,,,,,,,,,BFA
survey,2,,audit,calculation,,,matched,,,,,,,,,BFA
survey,2,,audit,relevant,,,matched,,,,,,,,,BFA
survey,2,,audit,constraint,,,matched,,,,,,,,,BFA
survey,3,,test,name,start,start,matched,,,,,,,,,BFA
survey,3,,start,type,start,start,matched,,,,,,,,,BFA
survey,3,,start,calculation,,,matched,,,,,,,,,BFA
survey,3,,start,relevant,,,matched,,,,,,,,,BFA
survey,3,,start,constraint,,,matched,,,,,,,,,BFA
survey,4,,end,name,end,end,matched,,,,,,,,,BFA
survey,4,,end,type,end,end,matched,,,,,,,,,BFA
survey,4,,end,calculation,,,matched,,,,,,,,,BFA
survey,4,,end,relevant,,,matched,,,,,,,,,BFA
survey,4,,end,constraint,,,matched,,,,,,,,,BFA
survey,5,,today,name,today,today,matched,,,,,,,,,BFA
survey,5,,today,type,today,today,matched,,,,,,,,,BFA
survey,5,,today,calculation,,,matched,,,,,,,,,BFA
survey,5,,today,relevant,,,matched,,,,,,,,,BFA
survey,5,,today,constraint,,,matched,,,,,,,,,BFA
survey,6,,deviceid,name,deviceid,deviceid,matched,,,,,,,,,BFA
survey,6,,deviceid,type,deviceid,deviceid,matched,,,,,,,,,BFA
survey,6,,deviceid,calculation,,,matched,,,,,,,,,BFA
survey,6,,deviceid,relevant,,,matched,,,,,,,,,BFA
survey,6,,deviceid,constraint,,,matched,,,,,,,,,BFA
survey,7,,instance_name,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,9,,survey_modality,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,10,,enum_id,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,11,,enum_gender,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,12,,enum_age,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,13,,admin1,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,14,,admin2,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,15,,admin3,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,16,,admin4,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,17,,cluster_id,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,18,,consent,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,19,,consent_no_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,20,,intro_hh,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,24,,resp_gender,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,25,,resp_age,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,26,,resp_hoh_yn,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,27,,hoh_gender,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,28,,hoh_age,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,29,,setting,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,30,,hh_size,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,31,,repeat_intro_hh,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,33,,parent_instance_name,name,parent_instance_name,parent_instance_name,matched,,,,,,,,,BFA
survey,33,,parent_instance_name,type,calculate,calculate,matched,,,,,,,,,BFA
survey,33,,parent_instance_name,calculation,${instance_name},${i_identifiant_formulaire},not matched,,,,"if(${a_1_nb_tole_abris} > 0, ${a_1_surface_abri_m2_entretien_distance}, ${a_1_surface_abri_m2})","jr:choice-name(${i_admin1},'${i_admin1}')",,,,BFA
survey,33,,parent_instance_name,relevant,,,matched,,,,,,,,,BFA
survey,33,,parent_instance_name,constraint,,,matched,,,,,,,,,BFA
survey,34,,person_id,name,person_id,person_id,matched,,,,,,,,,BFA
survey,34,,person_id,type,calculate,calculate,matched,,,,,,,,,BFA
survey,34,,person_id,calculation,uuid(),uuid(),matched,,,,,,,,,BFA
survey,34,,person_id,relevant,,,matched,,,,,,,,,BFA
survey,34,,person_id,constraint,,,matched,,,,,,,,,BFA
survey,35,,ind_pos,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,36,,note_resp,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,37,,ind_gender,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,38,,ind_age,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,39,,check_gender,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,40,,check_age,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,41,,note_resp_gender_mismatch,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,42,,note_resp_age_mismatch,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,43,,ind_age_under1,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,44,,ind_age_2_11,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,45,,ind_f,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,46,,ind_age_5_17,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,47,,ind_m_age_5_17,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,48,,ind_f_age_5_17,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,49,,ind_age_0_1,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,50,,ind_age_0_4,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,51,,ind_age_0_5,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,52,,ind_f_age_above18,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,53,,ind_m_age_above18,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,54,,ind_age_schooling,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,56,,ind_age_2_11_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,57,,ind_f_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,58,,ind_age_5_17_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,59,,ind_m_age_5_17_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,60,,ind_f_age_5_17_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,61,,ind_age_0_1_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,62,,ind_age_0_4_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,63,,ind_age_0_5_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,64,,ind_f_age_above18_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,65,,ind_m_age_above18_n,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,66,,ind_age_schooling_n,matched ,,,not matched,,,,,,,Missing in country survey,,BFA
survey,67,,ind_potentially_hoh,matched ,,,not matched,,,,,,,Missing in country survey,,BFA
survey,70,,note_aap,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,71,,aap_priority_challenge,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,72,,other_aap_priority_challenge,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,73,,aap_priority_support_ngo_note,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,74,,aap_priority_support_ngo,,,,not matched,,,,,,,Missing in country survey,,BFA
survey,75,,other_aap_priority_support_ngo,,,,not matched,,,,,,,Missing in country survey,,BFA
